subjectId,stimulus,pot,trial_number,BTS_actual_otherDecisionConfidence,BTS_actual_thisDecisionConfidence,BTS_actual_payoffQuadrant,BTS_predicted_otherDecisionConfidence,BTS_predicted_thisDecisionConfidence,gender
cdfacf34c9c2f0e35d6c3b365a206608,235_1,50221.0,86,1,4,2,24,76,male
cdfacf34c9c2f0e35d6c3b365a206608,235_2,50221.0,73,5,0,3,85,30,male
cdfacf34c9c2f0e35d6c3b365a206608,237_1,65673.5,40,5,0,3,80,10,male
cdfacf34c9c2f0e35d6c3b365a206608,237_2,65673.5,53,5,0,3,69,18,male
cdfacf34c9c2f0e35d6c3b365a206608,239_1,94819.0,26,3,5,4,30,30,male
cdfacf34c9c2f0e35d6c3b365a206608,239_2,94819.0,38,0,1,1,21,15,male
cdfacf34c9c2f0e35d6c3b365a206608,240_1,36159.0,46,4,2,3,78,22,male
cdfacf34c9c2f0e35d6c3b365a206608,240_2,36159.0,56,2,1,1,14,14,male
cdfacf34c9c2f0e35d6c3b365a206608,241_1,80954.5,75,0,2,1,20,60,male
cdfacf34c9c2f0e35d6c3b365a206608,241_2,80954.5,80,0,1,1,29,34,male
cdfacf34c9c2f0e35d6c3b365a206608,242_1,1283.5,77,5,5,4,80,45,male
cdfacf34c9c2f0e35d6c3b365a206608,242_2,1283.5,33,5,5,4,85,60,male
cdfacf34c9c2f0e35d6c3b365a206608,243_1,7726.5,14,0,0,1,15,35,male
cdfacf34c9c2f0e35d6c3b365a206608,243_2,7726.5,70,3,5,4,30,80,male
cdfacf34c9c2f0e35d6c3b365a206608,244_1,139.0,32,5,2,3,85,19,male
cdfacf34c9c2f0e35d6c3b365a206608,244_2,139.0,76,5,1,3,80,20,male
cdfacf34c9c2f0e35d6c3b365a206608,245_1,5958.0,35,5,4,4,65,40,male
cdfacf34c9c2f0e35d6c3b365a206608,245_2,5958.0,41,5,2,3,70,16,male
cdfacf34c9c2f0e35d6c3b365a206608,247_1,3.5,20,4,2,3,71,65,male
cdfacf34c9c2f0e35d6c3b365a206608,247_2,3.5,87,5,2,3,81,25,male
cdfacf34c9c2f0e35d6c3b365a206608,248_1,31403.0,72,5,2,3,80,20,male
cdfacf34c9c2f0e35d6c3b365a206608,248_2,31403.0,58,5,2,3,80,16,male
cdfacf34c9c2f0e35d6c3b365a206608,249_1,1562.5,21,4,4,4,60,30,male
