experiment,subjectId,stimulus,outcome,pot,Annoyed,Apprehensive,Contemptuous,Content,Devastated,Disappointed,Disgusted,Embarrassed,Excited,Furious,Grateful,Guilty,Hopeful,Impressed,Jealous,Joyful,Proud,Relieved,Surprised,Terrified,gender
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,264_1,CD,24145,21,18,20,21,22,22,22,20,22,18,16,16,14,21,22,21,24,24,23,22,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,272_2,DC,81899,25,20,15,20,20,20,26,21,20,18,14,15,27,24,22,16,20,21,14,14,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,284_1,DC,1116.5,4,3,5,5,5,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,279_1,CC,269.5,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,3,4,4,4,4,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,237_1,DD,65673.5,24,14,17,24,16,21,14,26,15,17,13,18,12,22,14,26,30,12,13,11,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,239_2,CC,94819,16,33,18,22,26,19,18,18,19,23,29,28,15,23,15,20,21,21,23,23,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,260_2,DD,1598.5,8,13,8,11,12,12,13,13,19,15,15,16,17,15,15,15,15,18,18,18,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,254_2,CC,130884,11,12,21,17,22,21,16,15,15,15,15,7,6,8,11,12,11,16,18,13,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,282_2,DD,2843.5,4,4,8,9,9,9,10,16,16,15,15,12,12,17,18,21,21,20,4,5,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,269_2,DC,2318,15,21,15,16,16,25,26,23,16,30,19,14,14,22,15,14,22,21,14,16,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,256_1,DC,2983,17,21,17,26,16,17,19,28,27,22,17,15,16,16,16,25,16,15,14,26,male
CA,1643a1bb75d0bf2a2482eb2fdac3cfa2,244_2,CC,139,22,17,17,18,7,16,7,10,15,18,19,27,11,11,12,12,15,21,21,20,male
CA,0e6bef0511f508f96e5d17caec03eb65,283_1,CD,57518,35,18,36,1,47,47,47,14,0,35,3,15,10,9,38,9,9,9,9,6,female
CA,0e6bef0511f508f96e5d17caec03eb65,269_2,DC,2318,12,15,16,29,13,13,16,23,35,11,25,25,25,27,11,15,12,13,29,13,female
CA,0e6bef0511f508f96e5d17caec03eb65,242_2,DC,1283.5,1,1,1,2,3,2,3,3,45,2,31,22,18,27,8,42,43,45,43,1,female
CA,0e6bef0511f508f96e5d17caec03eb65,248_2,DC,31403,1,2,2,3,3,3,4,4,47,12,31,21,35,19,10,35,32,30,29,14,female
CA,0e6bef0511f508f96e5d17caec03eb65,260_1,DD,1598.5,24,15,16,21,12,26,17,26,14,17,16,11,15,11,12,9,11,11,28,11,female
CA,0e6bef0511f508f96e5d17caec03eb65,253_2,DD,21719.5,36,13,14,14,10,34,14,23,15,30,13,13,12,10,10,10,10,9,30,9,female
CA,0e6bef0511f508f96e5d17caec03eb65,278_2,DC,40606,0,0,23,45,14,13,10,10,46,14,23,12,33,42,11,48,44,10,36,9,female
CA,0e6bef0511f508f96e5d17caec03eb65,271_1,CD,19025.5,46,5,44,13,39,10,10,10,10,10,10,10,12,11,11,13,12,12,36,15,female
CA,0e6bef0511f508f96e5d17caec03eb65,260_2,DD,1598.5,44,12,32,8,29,29,20,11,11,32,11,10,9,8,10,10,11,11,26,12,female
CA,0e6bef0511f508f96e5d17caec03eb65,270_1,CD,5322.5,31,14,27,8,27,12,26,11,11,26,9,2,2,3,23,2,3,3,33,6,female
CA,0e6bef0511f508f96e5d17caec03eb65,239_2,CC,94819,1,1,1,1,2,3,3,2,46,1,44,1,25,43,2,46,45,45,45,3,female
CA,0e6bef0511f508f96e5d17caec03eb65,279_1,CC,269.5,1,2,2,24,3,4,4,4,24,4,24,4,15,21,12,29,31,32,33,1,female
CA,9afdb0ca1a7d054db8124d825c818c3d,281_2,DC,1803,4,4,4,4,4,3,5,1,1,1,2,5,3,1,2,3,2,2,1,2,male
CA,9afdb0ca1a7d054db8124d825c818c3d,254_1,CC,130884,1,2,3,2,2,2,0,2,0,0,2,1,1,1,1,0,1,0,3,3,male
CA,9afdb0ca1a7d054db8124d825c818c3d,268_2,CC,61381.5,3,6,6,5,4,8,4,3,3,4,4,2,1,2,1,0,1,0,0,2,male
CA,9afdb0ca1a7d054db8124d825c818c3d,243_1,CC,7726.5,3,6,4,4,3,2,1,0,2,2,1,1,2,1,3,1,0,1,1,1,male
CA,9afdb0ca1a7d054db8124d825c818c3d,265_1,CD,1588,4,5,2,2,2,3,0,3,2,2,2,1,2,2,1,1,2,1,3,4,male
CA,9afdb0ca1a7d054db8124d825c818c3d,265_2,DC,1588,5,6,4,5,0,4,3,1,3,1,2,6,2,0,2,0,2,0,0,0,male
CA,9afdb0ca1a7d054db8124d825c818c3d,240_2,DD,36159,3,4,5,3,2,3,4,2,2,2,3,2,2,5,2,3,6,5,3,1,male
CA,9afdb0ca1a7d054db8124d825c818c3d,245_1,DD,5958,6,9,9,3,2,6,7,8,7,3,6,2,4,1,1,4,4,5,1,4,male
CA,9afdb0ca1a7d054db8124d825c818c3d,284_1,DC,1116.5,5,5,13,3,5,4,5,3,4,5,5,1,5,1,2,3,2,0,2,2,male
CA,9afdb0ca1a7d054db8124d825c818c3d,260_1,DD,1598.5,2,3,4,2,2,2,4,3,2,2,5,5,5,2,2,1,2,2,3,1,male
CA,9afdb0ca1a7d054db8124d825c818c3d,284_2,CD,1116.5,2,4,4,5,4,1,4,3,3,3,1,2,2,1,3,2,2,5,2,0,male
CA,9afdb0ca1a7d054db8124d825c818c3d,251_1,CD,2835.5,5,5,6,4,5,6,4,5,2,1,2,3,2,3,2,7,5,4,4,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,249_2,CC,1562.5,0,0,1,23,2,1,1,2,43,2,23,3,24,42,2,23,39,40,1,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,249_1,CC,1562.5,1,2,2,23,2,2,2,1,1,1,6,2,7,2,2,2,2,24,2,1,male
CA,60b5372fc48fa716e786cc211ebd68d3,271_2,DC,19025.5,2,2,2,6,2,2,23,38,1,3,3,23,3,2,3,3,4,3,3,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,270_1,CD,5322.5,25,23,25,1,7,26,39,2,3,7,2,1,1,0,25,0,1,1,2,3,male
CA,60b5372fc48fa716e786cc211ebd68d3,278_1,CD,40606,40,26,42,2,23,37,39,2,3,22,3,1,3,2,1,2,3,0,1,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,271_1,CD,19025.5,40,41,41,1,21,38,23,2,1,38,1,0,1,0,22,2,2,2,1,1,male
CA,60b5372fc48fa716e786cc211ebd68d3,240_1,DD,36159,25,2,3,1,0,43,2,3,2,2,2,2,2,1,0,0,0,0,1,3,male
CA,60b5372fc48fa716e786cc211ebd68d3,251_1,CD,2835.5,38,40,44,1,1,22,37,2,1,45,1,1,2,2,2,2,1,1,1,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,288_2,DD,15744.5,2,2,2,2,1,2,22,42,2,2,3,42,0,2,3,2,1,1,24,25,male
CA,60b5372fc48fa716e786cc211ebd68d3,289_1,DC,822.5,3,2,3,4,18,22,37,38,2,4,4,42,3,2,4,4,3,3,3,2,male
CA,60b5372fc48fa716e786cc211ebd68d3,241_1,CC,80954.5,3,2,3,5,4,4,4,2,2,3,25,5,23,4,3,3,4,43,3,3,male
CA,60b5372fc48fa716e786cc211ebd68d3,235_2,CD,50221,25,25,24,2,43,43,23,25,3,28,6,5,4,3,26,4,2,2,46,3,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,245_1,DD,5958,36,34,31,29,37,36,34,33,32,35,4,41,3,12,13,6,9,7,32,35,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,242_1,CD,1283.5,44,43,43,4,42,42,41,43,32,44,5,17,4,9,41,2,7,2,28,21,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,273_2,CC,9675,5,15,2,44,5,4,7,10,22,5,40,6,29,37,4,35,33,45,30,11,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,252_2,CD,310,31,34,35,6,24,36,34,32,21,35,2,12,5,8,29,4,11,3,28,13,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,271_2,DC,19025.5,2,3,5,43,3,6,20,31,37,5,43,29,11,13,4,14,6,34,31,18,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,281_2,DC,1803,4,4,4,25,10,17,25,30,24,7,22,36,19,27,3,15,9,31,27,17,male
CA,c04b1e6c9169671e5ed2595e4d7c739d,268_1,CC,61381.5,3,3,3,45,1,2,5,4,27,1,46,3,32,33,2,45,44,46,37,15,male
