workerIdAnon,stimID,stimulus,pot,stimFileName,time_to_load,time_to_serve,trial_number,respTimer,Annoyed,Apprehensive,Contemptuous,Content,Devastated,Disappointed,Disgusted,Embarrassed,Excited,Furious,Grateful,Guilty,Hopeful,Impressed,Jealous,Joyful,Proud,Relieved,Surprised,Terrified
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,257.2,257_2,30.0,257_2t.mp4,5.075,5.089,0,78.356,9,18,0,33,8,21,2,5,18,0,28,0,30,10,14,27,25,21,5,4
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,263.2,263_2,28802.0,263_2t.mp4,5.668,0.001,1,47.865,20,25,20,9,21,35,19,25,10,8,11,5,11,10,20,4,9,3,30,4
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,282.1,282_1,2843.5,282_1t.mp4,3.009,0.0,2,50.412,8,18,7,30,0,13,9,11,28,0,31,11,24,28,10,25,25,17,19,11
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,266.2,266_2,6559.0,266_2t.mp4,5.673,0.001,3,49.356,15,21,11,22,13,19,12,14,19,2,19,10,25,21,19,26,13,15,17,3
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,247.2,247_2,3.5,247_2t.mp4,8.876,0.001,4,73.661,7,35,6,10,10,21,8,11,12,0,11,7,14,11,14,13,16,16,13,15
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,251.2,251_2,2835.5,251_2t.mp4,3.163,0.001,5,47.713,26,17,26,3,23,33,18,28,1,7,2,2,2,7,17,1,3,4,23,7
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,286.1,286_1,3532.5,286_1t.mp4,2.565,0.001,6,50.943,12,14,12,4,19,35,7,21,6,5,4,6,3,6,9,5,8,10,15,4
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,269.2,269_2,2318.0,269_2t.mp4,5.315,0.0,7,80.212,25,15,27,0,18,37,28,26,0,9,2,0,2,2,11,2,3,5,25,3
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,269.1,269_1,2318.0,269_1t.mp4,3.323,0.001,8,59.606,25,21,21,3,13,34,19,28,2,15,3,3,3,4,12,4,17,8,16,0
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,248.2,248_2,31403.0,248_2t.mp4,5.419,0.001,9,89.567,25,27,14,5,28,33,22,17,8,12,3,2,9,8,19,2,2,0,27,8
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,288.1,288_1,15744.5,288_1t.mp4,8.049,0.001,10,57.846,6,9,6,9,9,15,5,8,9,5,3,2,3,10,14,9,14,17,16,0
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,248.1,248_1,31403.0,248_1t.mp4,4.055,0.001,11,58.853,20,17,20,4,15,19,19,15,0,7,0,2,3,5,15,4,7,12,11,0
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,252.1,252_1,310.0,252_1t.mp4,3.435,3.442,0,62.412,5,14,5,28,4,15,5,11,36,4,25,7,33,26,16,36,29,36,38,4
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,282.2,282_2,2843.5,282_2t.mp4,4.932,0.001,1,54.732,15,38,3,30,5,11,10,14,35,4,30,12,37,20,9,33,38,47,28,22
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,253.2,253_2,21719.5,253_2t.mp4,8.115,0.001,2,52.506,21,47,18,14,5,16,5,14,27,9,33,15,30,11,16,27,27,44,30,28
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,244.2,244_2,139.0,244_2t.mp4,8.104,0.003,3,49.521,34,40,27,8,30,46,34,29,5,28,5,12,17,13,25,4,9,11,31,24
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,264.2,264_2,24145.0,264_2t.mp4,4.688,0.001,4,48.048,31,42,31,11,30,44,35,31,9,26,8,17,17,8,37,12,12,19,34,28
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,249.1,249_1,1562.5,249_1t.mp4,6.69,0.0,5,43.937,6,29,6,28,4,2,4,10,34,3,38,6,37,17,5,34,35,39,35,5
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,271.1,271_1,19025.5,271_1t.mp4,5.527,0.004,6,57.107,28,35,10,17,24,24,21,36,21,4,4,35,25,31,21,17,11,26,35,16
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,241.2,241_2,80954.5,241_2t.mp4,7.479,0.002,7,44.288,4,46,8,29,4,5,3,16,44,4,39,4,43,26,5,43,32,41,29,29
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,239.1,239_1,94819.0,239_1t.mp4,8.027,0.001,8,45.722,4,33,2,31,4,3,4,7,36,3,39,3,30,26,4,37,47,46,25,13
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,281.1,281_1,1803.0,281_1t.mp4,6.986,0.001,9,55.579,26,32,8,20,19,42,24,31,15,15,17,18,26,12,24,11,11,14,10,20
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,287.2,287_2,1030.5,287_2t.mp4,6.241,0.002,10,56.451,4,43,9,24,3,7,5,16,35,3,38,18,43,28,21,26,30,42,42,42
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,270.1,270_1,5322.5,270_1t.mp4,5.311,0.001,11,50.926,34,33,27,6,24,44,25,34,21,30,9,10,27,6,22,7,10,14,47,24
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,263.2,263_2,28802.0,263_2t.mp4,4.779,4.784,0,67.819,45,31,12,8,40,47,40,41,16,29,10,8,11,11,34,15,9,9,39,26
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,281.1,281_1,1803.0,281_1t.mp4,5.491,0.002,1,51.703,36,32,16,19,34,34,30,33,14,30,12,16,16,13,26,14,12,13,33,15
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,245.1,245_1,5958.0,245_1t.mp4,4.426,0.002,2,44.919,10,9,13,15,10,11,10,3,42,8,38,10,41,36,10,43,36,38,35,7
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,241.1,241_1,80954.5,241_1t.mp4,6.078,0.003,3,41.782,10,27,21,28,12,10,14,5,37,10,36,10,38,42,12,35,36,43,34,10
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,257.2,257_2,30.0,257_2t.mp4,4.33,0.002,4,43.592,8,25,30,37,11,12,6,3,31,11,24,12,31,23,11,31,28,42,32,5
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,289.2,289_2,822.5,289_2t.mp4,5.109,0.003,5,62.057,30,35,20,33,32,37,13,8,10,10,12,8,15,19,13,14,13,35,36,10
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,266.2,266_2,6559.0,266_2t.mp4,4.357,0.002,6,41.021,5,10,27,32,7,5,6,1,40,4,40,28,39,42,8,38,43,40,38,9
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,271.1,271_1,19025.5,271_1t.mp4,4.262,0.002,7,53.466,45,31,22,8,37,35,31,34,9,33,10,8,9,9,37,5,6,5,34,12
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,278.1,278_1,40606.0,278_1t.mp4,4.029,0.003,8,49.726,39,32,24,17,39,48,31,35,19,31,14,13,16,15,37,9,20,15,37,16
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,239.2,239_2,94819.0,239_2t.mp4,7.058,0.003,9,48.389,13,12,24,34,8,9,13,5,43,8,42,7,43,44,9,43,45,45,44,16
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,249.2,249_2,1562.5,249_2t.mp4,7.055,0.003,10,45.846,8,21,24,31,4,9,9,3,38,9,42,8,43,41,11,43,40,45,28,5
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,270.2,270_2,5322.5,270_2t.mp4,5.733,0.004,11,44.635,10,29,24,25,16,25,12,16,29,13,24,29,36,33,26,27,26,43,38,7
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,270.1,270_1,5322.5,270_1t.mp4,0.402,0.404,0,60.361,19,22,9,30,14,12,11,22,15,0,12,11,17,32,19,9,28,30,33,0
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,277.2,277_2,3331.0,277_2t.mp4,0.432,0.001,1,66.09,6,34,4,32,3,7,2,12,15,0,26,5,24,19,7,23,31,38,29,25
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,283.1,283_1,57518.0,283_1t.mp4,0.474,0.0,2,50.865,45,18,47,3,41,44,31,25,11,39,4,37,15,0,9,6,6,3,31,12
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,242.2,242_2,1283.5,242_2t.mp4,0.441,0.0,3,54.464,0,18,0,43,0,0,0,0,42,0,46,0,27,42,1,48,40,48,41,12
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,260.1,260_1,1598.5,260_1t.mp4,0.479,0.0,4,50.046,0,11,0,40,0,0,2,0,41,0,39,0,39,40,0,40,41,40,41,5
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,249.2,249_2,1562.5,249_2t.mp4,0.527,0.001,5,51.428,0,9,0,48,0,0,0,0,42,0,46,0,44,37,0,44,48,34,31,7
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,253.2,253_2,21719.5,253_2t.mp4,0.509,0.0,6,57.714,34,37,27,23,18,27,18,39,19,21,18,11,20,23,26,18,23,26,35,13
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,248.2,248_2,31403.0,248_2t.mp4,0.414,0.0,7,55.578,24,48,15,24,11,24,27,42,35,7,25,11,31,25,18,25,24,28,41,40
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,278.2,278_2,40606.0,278_2t.mp4,0.37,0.0,8,62.855,2,25,0,43,0,2,0,10,41,0,42,7,42,45,0,42,43,48,36,12
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,271.1,271_1,19025.5,271_1t.mp4,0.401,0.001,9,51.099,48,17,45,0,29,48,26,36,7,39,2,38,8,0,34,1,0,0,48,7
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,241.2,241_2,80954.5,241_2t.mp4,0.477,0.0,10,44.824,0,20,0,48,0,0,0,0,48,0,48,0,42,41,0,48,48,48,41,0
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,288.1,288_1,15744.5,288_1t.mp4,0.38,0.0,11,48.871,0,9,0,43,0,0,0,0,42,0,41,0,43,43,0,48,48,48,22,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,235.1,235_1,50221.0,235_1t.mp4,1.37,1.371,0,72.711,0,27,13,24,0,6,1,16,31,0,10,41,40,0,12,31,36,13,0,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,283.1,283_1,57518.0,283_1t.mp4,1.585,0.0,1,54.438,43,4,30,0,40,48,34,0,0,27,0,0,0,0,29,0,0,0,21,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,260.2,260_2,1598.5,260_2t.mp4,1.72,0.0,2,50.459,0,27,0,43,0,0,0,0,46,0,35,0,28,26,0,48,48,41,44,5
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,242.2,242_2,1283.5,242_2t.mp4,1.357,0.0,3,66.654,0,14,0,6,0,35,0,41,11,0,0,34,12,0,23,19,0,33,48,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,273.2,273_2,9675.0,273_2t.mp4,1.321,0.0,4,56.534,0,0,0,48,0,0,0,0,31,0,48,0,26,40,0,48,42,30,9,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,241.2,241_2,80954.5,241_2t.mp4,1.87,0.0,5,57.631,0,27,0,33,0,0,0,0,48,0,8,0,29,48,2,48,0,8,42,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,279.1,279_1,269.5,279_1t.mp4,1.616,0.001,6,68.054,0,0,0,28,0,0,0,0,38,0,35,0,28,31,0,48,26,39,48,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,263.1,263_1,28802.0,263_1t.mp4,5.068,0.001,7,75.75,0,27,0,16,0,4,0,0,4,0,0,31,18,0,0,0,43,0,0,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,253.2,253_2,21719.5,253_2t.mp4,1.732,0.0,8,74.926,0,39,0,36,0,14,5,0,37,0,34,0,31,45,0,48,36,43,43,28
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,272.1,272_1,81899.0,272_1t.mp4,1.74,0.001,9,113.917,3,45,38,35,4,18,0,21,0,0,0,34,29,32,0,0,34,27,28,45
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,287.2,287_2,1030.5,287_2t.mp4,1.324,0.0,10,49.247,0,18,0,14,0,0,0,0,33,0,2,0,28,14,0,43,39,0,0,0
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,264.2,264_2,24145.0,264_2t.mp4,1.116,0.0,11,71.757,0,30,0,30,0,30,0,44,0,0,0,41,24,0,0,5,0,14,14,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,277.2,277_2,3331.0,277_2t.mp4,0.926,0.928,0,45.499,0,24,0,0,7,0,0,26,0,0,0,36,0,0,0,0,0,7,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,253.2,253_2,21719.5,253_2t.mp4,0.873,0.001,1,39.786,0,0,0,31,0,0,0,0,24,0,34,1,28,10,0,23,0,32,11,1
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,252.2,252_2,310.0,252_2t.mp4,0.938,0.001,2,41.424,32,11,3,27,0,0,0,2,0,0,0,4,0,0,0,0,9,0,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,271.2,271_2,19025.5,271_2t.mp4,0.815,0.001,3,41.441,0,0,0,27,0,4,0,0,0,0,4,0,10,0,0,0,44,24,0,0
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,243.2,243_2,7726.5,243_2t.mp4,0.784,0.0,4,40.185,0,3,0,26,0,0,0,0,32,0,38,0,7,8,0,46,0,48,29,0
